vb,uii,hei_name,form,discipline,,deg_title1,prog_name1,major_title1,major_name1,deg_title2,prog_name2,major_title2,major_name2,ladderized,straight,eteeap,coe-cod,prog_level,authority_category,authority_serial,prog_status_yr,thesis,prog_status,prog_cal_mode,prog_length,prog_labunits,prog_lectureunits,prog_totalunits,prog_credit,tuition_unit,prog_fee,EFM,EFF,E1M,E1F,1Total,E2M,E2F,Enroll_total,E3M,E3F,Enroll_total,E4M,E4F,Enroll_total,E5M,E5F,Enroll_total,E6M,E6F,Enroll_total,E7M,E7F,Enroll_total,EM,EF,Enroll_total,units_lec,units_lab,units_total,GM,GF,Enroll_total,updater,date_updated,remarks
2025-26,09076,"Aim High College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Food and Service Management,Bachelor of,Technology and Livelihood Education,Major in,Food and Service Management,,,,,,,,,50,GR,,,1,CO,SE,4,,,0,176,250,44000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Industrial Arts,Bachelor of,Technology and Livelihood Education,Major in,Industrial Arts,,,,,,,,,50,GP,,,1,CO,SE,4,,,0,164,250,41000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,IT-RELATED DISCIPLINES,Associate in Computer Technology  ,Associate in,Computer Technology,,,,,,,,,,,40,GP,,,2,CO,,2,,,0,86,250,21500,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,"AGRICULTURE, FORESTRY, FISHERIES",Bachelor of Agricultural Technology  ,Bachelor of,Agricultural Technology,,,,,,,,,,,50,GP,,PO-2022,1,PO,SE,4,,,0,180,250,45000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology  ,Bachelor of Science in,Criminology,,,,,,,,,,,50,GP,,,1,CO,SE,4,,,0,188,250,47000,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,MEDICAL AND ALLIED,Bachelor of Science in Midwifery  ,Bachelor of Science in,Midwifery,,,,,,,,,,,50,GR,,,1,CO,SE,4,,,0,197,250,49250,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Science in Social Work  ,Bachelor of Science in,Social Work,,,,,,,,,,,50,GR,,,1,CO,SE,4,,,0,143,250,35750,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09076,"Aim High College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Tourism Management  ,Bachelor of Science in,Tourism Management,,,,,,,,,,,50,GR,,,2,CO,SE,4,,,0,158,250,39500,,,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,,,0,,,0,Kim Dioven Lusaya,,
2025-26,09089,"Alhadeetha Mindanao College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Computer Hardware Services,Bachelor of,Technology and Livelihood Education,Major in,Computer Hardware Services,,,,,,,,,50,GR,16,,1,CO,SE,4,,,0,184,220,68360,4,13,,,17,10,12,22,0,0,0,1,3,4,,,0,,,0,,,0,15,28,43,,,0,4,3,7,Kim Dioven Lusaya,02-Dec-2025,
2025-26,09089,"Alhadeetha Mindanao College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Technology and Livelihood Education Major in Food and Service Management,Bachelor of,Technology and Livelihood Education,Major in,Food and Service Management,,,,,,,,,50,GR,11,,1,CO,SE,4,,,0,184,220,68360,4,3,,,7,8,7,15,3,15,18,10,32,42,,,0,,,0,,,0,25,57,82,,,0,3,32,35,Kim Dioven Lusaya,02-Dec-2025,
2025-26,09089,"Alhadeetha Mindanao College, Inc.",B,RELIGION AND THEOLOGY,Bachelor of Arts in Islamic Studies Major in Multi-Media & Technology,Bachelor of Arts in,Islamic Studies,Major in,Multi-Media & Technology,,,,,,,,,50,GR,4,,1,CO,SE,4,,,0,183,220,63680,6,3,,,9,6,8,14,0,9,9,10,4,14,,,0,,,0,,,0,22,24,46,,,0,4,8,12,Kim Dioven Lusaya,02-Dec-2025,
2025-26,09089,"Alhadeetha Mindanao College, Inc.",B,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Science in Social Work  ,Bachelor of Science in,Social Work,,,,,,,,,,,50,GP,4,,1,CO,SE,4,,,0,149,220,32780,11,63,,,74,7,37,44,11,36,47,0,0,0,,,0,,,0,,,0,29,136,165,,,0,,,0,Kim Dioven Lusaya,02-Dec-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Civil Engineering Major in Construction Engineering Management,Bachelor of Science in,Civil Engineering,Major in,Construction Engineering Management,,,,,,,,,50,GR,189,1975,2,CO,SE,4,,,0,195,478.45,135789.69,8,10,0,0,18,8,6,14,2,8,10,3,7,10,0,0,0,0,0,0,0,0,0,21,31,52,,,0,37,28,65,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in English,Bachelor of,Secondary Education,Major in,English,,,,,,,,,50,GR,102,1950,2,CO,SE,4,,,0,181,478.45,120465.83,5,20,0,0,25,8,12,20,4,12,16,8,11,19,0,0,0,0,0,0,0,0,0,25,55,80,,,0,2,5,7,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Filipino,Bachelor of,Secondary Education,Major in,Filipino,,,,,,,,,50,GR,102,1950,2,NO,SE,4,,,0,194,478.45,120465.83,1,0,0,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Financial Management,Bachelor of Science in,Business Administration,Major in,Financial Management,,,,,,,,,50,GR,190,1959,2,CO,SE,4,,,0,169,478.45,128295.73,8,7,0,0,15,14,6,20,11,5,16,8,2,10,0,0,0,0,0,0,0,0,0,41,20,61,,,0,4,5,9,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in General Science,Bachelor of,Secondary Education,Major in,General Science,,,,,,,,,50,GR,102,1950,2,NO,SE,4,,,0,194,478.45,120465.83,0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,1,3,4,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Business Administration Major in Human Resource Management,Bachelor of Science in,Business Administration,Major in,Human Resource Management,,,,,,,,,50,GR,190,1959,2,CO,SE,4,,,0,166,478.45,125173.69,5,12,0,0,17,4,7,11,5,9,14,6,8,14,0,0,0,0,0,0,0,0,0,20,36,56,,,0,2,6,8,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Mathematics,Bachelor of,Secondary Education,Major in,Mathematics,,,,,,,,,50,GR,102,1950,2,CO,SE,4,,,0,178,478.45,121338.97,2,4,0,0,6,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11,,,0,1,2,3,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,"Bachelor of Secondary Education Major in Music, Arts and Physical Education",Bachelor of,Secondary Education,Major in,"Music, Arts and Physical Education",,,,,,,,,50,GR,102,1950,2,NO,SE,4,,,0,193,478.45,120465.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Secondary Education Major in Social Studies,Bachelor of,Secondary Education,Major in,Social Studies,,,,,,,,,50,GR,102,1950,2,NO,SE,4,,,0,195,478.45,120465.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Civil Engineering Major in Structural Engineering,Bachelor of Science in,Civil Engineering,Major in,Structural Engineering,,,,,,,,,50,GR,189,1975,2,CO,SE,4,,,0,195,478.45,135759.69,44,30,0,0,74,49,34,83,37,37,74,64,43,107,0,0,0,0,0,0,0,0,0,194,144,338,,,0,14,14,28,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Electrical Engineering  ,Bachelor of Science in,Electrical Engineering,,,,,,,,,,,50,GR,43,1991,2,CO,SE,4,,,0,206,478.45,148915.17,90,18,0,0,108,119,15,134,119,27,146,120,34,154,0,0,0,0,0,0,0,0,0,448,94,542,,,0,9,4,13,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Computer Engineering  ,Bachelor of Science in,Computer Engineering,,,,,,,,,,,50,GR,17,2006,2,CO,SE,4,,,0,191,478.45,147714.15,83,56,0,0,139,74,49,123,51,38,89,41,33,74,0,0,0,0,0,0,0,0,0,249,176,425,,,0,2,0,2,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Bachelor of Science in Office Administration  ,Bachelor of Science in,Office Administration,,,,,,,,,,,50,GR,008,2005,2,NO,SE,4,,,0,147,478.45,118056.47,30,107,0,0,137,10,77,87,18,77,95,5,33,38,0,0,0,0,0,0,0,0,0,63,294,357,,,0,0,0,0,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,MEDICAL AND ALLIED,Bachelor of Science in Nursing  ,Bachelor of Science in,Nursing,,,,,,,,,,,50,GR,002,2006,2,CO,SE,4,,,0,203,593.4,197939.01,49,5,0,0,54,38,4,42,25,4,29,24,3,27,0,0,0,0,0,0,0,0,0,136,16,152,,,0,12,36,48,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Electronics Engineering  ,Bachelor of Science in,Electronics Engineering,,,,,,,,,,,50,GR,16,2006,2,CO,SE,4,,,0,198,478.45,136372.11,29,2,0,0,31,42,4,46,31,4,35,19,7,26,0,0,0,0,0,0,0,0,0,121,17,138,,,0,0,1,1,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,BUSINESS ADMINISTRATION AND RELATED,Master of Business Administration  ,Master of,Business Administration,,,,,,,,,,,80,GR,74,,2,CO,TR,2,,,0,48,636.79,72277.68,6,35,0,0,41,9,34,43,6,20,26,0,0,0,0,0,0,0,0,0,0,0,0,21,89,110,,,0,4,7,11,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,SOCIAL AND BEHAVIORAL SCIENCES,Bachelor of Arts in Political Science  ,Bachelor of Arts in,Political Science,,,,,,,,,,,50,GR,127,1973,2,CO,SE,4,,,0,124,478.45,95550.73,11,15,0,0,26,10,10,20,4,12,16,7,11,18,0,0,0,0,0,0,0,0,0,32,48,80,,,0,3,7,10,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,"AGRICULTURE, FORESTRY, FISHERIES",Bachelor of Science in Agriculture  ,Bachelor of Science in,Agriculture,,,,,,,,,,,50,GR,004,1985,2,CO,SE,4,,,0,159,478.45,123499.93,3,11,0,0,14,6,17,23,6,12,18,6,9,15,0,0,0,0,0,0,0,0,0,21,49,70,,,0,1,2,3,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Bachelor of Elementary Education  ,Bachelor of,Elementary Education,,,,,,,,,,,50,GR,100,1964,2,CO,SE,4,,,0,169,478.45,119046.41,4,9,0,0,13,3,6,9,3,6,9,7,15,22,0,0,0,0,0,0,0,0,0,17,36,53,,,0,2,11,13,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,LAW AND JURISPRUDENCE,Bachelor of Science in Criminology  ,Bachelor of Science in,Criminology,,,,,,,,,,,50,GR,006,1985,2,CO,SE,4,,,0,209,478.45,145592.41,8,3,0,0,11,12,2,14,8,0,8,10,3,13,0,0,0,0,0,0,0,0,0,38,8,46,,,0,57,16,73,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,ENGINEERING AND TECH,Bachelor of Science in Mechanical Engineering  ,Bachelor of Science in,Mechanical Engineering,,,,,,,,,,,50,GR,44,1991,2,CO,SE,4,,,0,199,478.45,147907.33,9,6,0,0,15,10,4,14,1,6,7,7,2,9,0,0,0,0,0,0,0,0,0,27,18,45,,,0,15,1,16,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,IT-RELATED DISCIPLINES,Bachelor of Science in Computer Science  ,Bachelor of Science in,Computer Science,,,,,,,,,,,50,GR,004,1998,1,CO,SE,4,,,0,181,478.45,145203.79,13,3,0,0,16,10,2,12,3,3,6,5,1,6,0,0,0,0,0,0,0,0,0,31,9,40,,,0,1,0,1,Kim Dioven Lusaya,11-Nov-2025,
2025-26,09001,"Andres Bonifacio College, Inc.",B,EDUCATION SCIENCE AND TEACHER TRAINING,Master of Arts in Educational Management  ,Master of Arts in,Educational Management,,,,,,,,,,,80,GR,74,,1,CO,TR,2,,,0,36,636.79,72277.68,,,8,30,38,,,0,,,0,,,0,,,0,,,0,,,0,8,30,38,,,0,3,4,7,Kim Dioven Lusaya,11-Nov-2025,
