School,Address,Barangay,City/Municipality,Province,District,Representative,Type of heis,hei_Code
Aim High College Incorporated,"National Highway, Buluan",Buluan,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09076
"Alhadeetha Mindanao College, Inc.",Taculing Street,Dalapang,Labangan,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09089
AMA Computer College - Zamboanga,Artstrel Bldg. MCLL Highway,Guiwan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,,09055
"Andres Bonifacio College, Inc.",College Park,,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09001
Ateneo de Zamboanga University,La Purisima Street,Zone III,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09002
"Aurora Pioneers Memorial College, Inc.",Bonifacio Street,Poblacion,Aurora,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09046
Ave Maria College,Vallesville-Fatima,,Liloy,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09077
Basilan State College,Sumagdang,,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,S,09003
"Blancia College Foundation, Incorporated",Mabini Street,,Molave,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09016
Brent Hospital and Colleges Incorporated,R.T. Lim Boulevard,San Jose Cawa-Cawa,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09004
Central Sulu College,"GRV7+RPJ, Siasi, Sulu",,,Sulu,2nd District (Sulu),Abdulmunir M. Arbison,NEW,15002
Claret College of Isabela,Sta. Cruz,Roxas Avenue,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,P,09005
Colegio de la Ciudad de Zamboanga,Calle San Vicente,Ayala,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,L,09098
"Colegio de San Francisco Javier of Rizal, Zamboanga del Norte, Incorporated",East Poblacion,,Rizal,Zamboanga del Norte,"1st District, Zamboanga del Norte",Roberto Uy Jr.,P,09056
"Computer Technologies Institute of Zamboanga City, Inc.",Baliwasan Chico Road,Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09058
Dipolog City Institute of Technology,National Highway,Minaog,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09047
"DMC College Foundation, Inc.","Fr. Patangan Road,, Sta. Filomena",Mibang,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,P,09006
Dr. Aurelio Mendoza Memorial Colleges,Dr. Aurelio Mendoza Street,,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09008
Eastern Mindanao College of Technology,"Broca St., San Jose",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09061
"Ebenezer Bible College and Seminary, Inc.","Ebnezer Campus, Calarian",Upper Calarian,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09049
"Emmaus College of Theology Foundation, Inc.","Harmony Village, Sinunuc",Sinunuc,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09102
Ferndale College - Zamboanga Peninsula,Veterans Avenue,Zone III,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09100
Hadji Butu School of Arts and Trades,"22W2+X8C, Jolo, Sulu",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15003
"Helping Hands College and Wellness Center, Inc.","Biwa, Titik, Leon B. Postigo, Zamboanga del Norte",,Leon Postigo,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,P,09106
"HMIJ - Foundation Philippine Islamic College, Inc.","BCC Cmpd., Baliwasan Grande",Baliwasan,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09059
"Hyrons College Philippines, Inc.",Sto. Niño,,Tukuran,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09079
Immaculate Conception Archdiocesan School,"Fr. Barua Street, Tetuan",Tetuan,Zamboanga City,Zamboanga del Sur,"2nd District, Zamboanga City",Jerry E. Perez,P,09009
J.H. Cerilles State College - Canuto MS Enerio Campus,Biswangan,,Lakewood,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09051
J.H. Cerilles State College - Dumingag Campus,Caridad,,Dumingag,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09036q
J.H. Cerilles State College - Mati,"National Highway, Mati",,San Miguel,Zamboanga del Sur,"2nd District, Zamboanga del Sur",Jeyzel Victoria C. Yu,S,09036
J.H. Cerilles State College - Pagadian,,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,S,09036i
Jose Rizal Memorial State University,"Gov. Guading Adasa Street, Sta. Cruz",,Dapitan City,Zamboanga del Norte,"1st District, Zamboanga del Norte",Roberto Uy Jr.,S,09048
Jose Rizal Memorial State University - Dipolog Campus,Gen. Luna St,,Dipolog City,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,S,09053
Jose Rizal Memorial State University - Katipunan Campus,National Highway,,Katipunan,Zamboanga del Norte,"2nd District, Zamboanga del Norte",Irene G. Labadlabad,S,09012
Jose Rizal Memorial State University - Siocon Campus,Manaol,,Siocon,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,S,09054
Jose Rizal Memorial State University - Tampilisan Campus,ZNAC Rd.,,Tampilisan,Zamboanga del Norte,"3rd District, Zamboanga del Norte",Adrian Michael Amatong,S,09081
"Juan S. Alano Memorial School, Inc.","Rizal Avenue, Doña Ramona T. Barangay",,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,P,09010
Lapak Agricultural School,"GRWF+335, Siasi, Sulu",,Sulu,Sulu,2nd District (Sulu),Abdulmunir M. Arbison,NEW,15005
"Lucan Central Colleges, Inc.","Gov. V.M. Cerilles Street, San Francisco District",,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09071
"Marian College, Inc.","Climaco St., Poblacion",,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09014
"Medina College Ipil, Inc.",Purok Mañalac,,Ipil,Zamboanga Sibugay,"2nd District, Zamboanga Sibugay",Marly Hofer-Hasim,P,09065
"Medina College, Incorporated",Barangay Bulatok,,Pagadian City,Zamboanga del Sur,"1st District, Zamboanga del Sur",Divina Grace C. Yu,P,09041
"Metro Zampen College, Inc.",Mayor Jaldon Street,Canelar,Zamboanga City,Zamboanga del Sur,"1st District, Zamboanga City",Katrina Reiko C. Tai,P,09101
Mindanao Autonomous College Foundation Inc. of Isabela City,Vetarans Street,,Isabela City,Basilan,Lone District (Basilan),Mujiv Hataman,NEW,15035
Mindanao State University - Buug,Datu Panas,,Buug,Zamboanga Sibugay,"1st District, Zamboanga Sibugay",Atty. Marlo Bancoro,S,09060
Mindanao State University - Sulu Development Technical College,"Capitol Site 7400, Jolo, Sulu BARMM, Philippines",,Sulu,Sulu,1st District (Sulu),Samier Tan,NEW,15007
Mindanao State University - Tawi-Tawi College of Technology and Oceonography,,,Tawi-Tawi,,Lone District (Tawi-Tawi),Dimszar M. Sali,NEW,15xxxx
Notre Dame Jolo College,"3234+W24, Jolo, Sulu",,,Sulu,1st District (Sulu),Samier Tan,NEW,15009
